"Admission Year & Month","General anaesthetic %","General anaesthetic % (annual)","% of Generals given nerve block","% of Generals given nerve block (annual)","Spinal anaesthetic %","Spinal anaesthetic % (annual)","% of Spinals given nerve block","% of Spinals given nerve block (annual)","% Given nerve block pre theatre","% ALL NHFD given nerve block pre theatre"
"Apr 2011",36,,22.22,,52,,7.7,,,
"May 2011",57.69,,13.33,,26.92,,0,,,
"Jun 2011",57.14,,37.5,,35.71,,10,,,
"Jul 2011",40,,50,,50,,0,,,
"Aug 2011",26.09,,66.67,,69.57,,12.5,,,
"Sep 2011",40,,12.5,,55,,18.2,,,
"Oct 2011",41.18,,57.14,,41.18,,0,,,
"Nov 2011",37.5,,11.11,,62.5,,13.3,,,
"Dec 2011",40,,0,,56,,7.1,,,
"Jan 2012",52.63,,10,,47.37,,0,,,
"Feb 2012",31.25,,20,,68.75,,36.4,,,
"Mar 2012",21.43,41.25,0,24.53,78.57,52.14,0,9.7,,
"Apr 2012",57.14,43.08,0,22.02,42.86,51.38,11.1,10,,
"May 2012",65.62,44.4,23.81,23.48,34.38,51.74,27.3,11.9,,
"Jun 2012",63.64,44.66,0,18.58,31.82,51.78,57.1,14.5,,
"Jul 2012",56.25,45.78,22.22,16.67,31.25,50.6,0,15.1,,
"Aug 2012",60,48.55,11.11,13.68,40,48.13,16.7,15.5,,
"Sep 2012",58.33,50.2,14.29,13.82,37.5,46.53,33.3,16.7,,
"Oct 2012",62.96,52.16,17.65,12.03,33.33,45.49,11.1,17.2,,
"Nov 2012",58.33,54.12,21.43,13.04,41.67,43.53,30,18.9,,
"Dec 2012",64.71,56.82,45.45,18.67,32.35,40.91,18.2,20.4,,
"Jan 2013",71.87,58.84,43.48,22.7,18.75,37.91,33.3,22.9,,
"Feb 2013",75,61.37,41.67,24.12,25,35.38,25,21.4,,
"Mar 2013",61.11,63.35,27.27,24.72,33.33,33.1,0,22.6,,
"Apr 2013",33.33,61.27,25,26.44,62.5,34.86,26.7,24.2,,
"May 2013",50,59.93,70,29.45,45,35.66,11.1,22.7,,
"Jun 2013",50,58.63,71.43,35.58,42.86,36.69,33.3,21.6,,
"Jul 2013",38.1,57.24,50,37.04,47.62,37.81,10,21.5,,
"Aug 2013",62.5,57.53,26.67,37.5,37.5,37.67,22.2,21.8,,
"Sep 2013",88.89,59.44,50,40.59,11.11,36.01,50,21.4,,
"Oct 2013",66.67,59.57,16.67,41.21,22.22,35.38,25,22.4,,
"Nov 2013",48.48,58.39,37.5,42.51,42.42,35.66,28.6,22.5,,
"Dec 2013",67.57,58.82,40,41.76,24.32,34.6,33.3,24,,
"Jan 2014",53.33,56.79,43.75,41.72,36.67,36.59,54.5,26.7,,
"Feb 2014",88.24,57.64,40,41.57,11.76,35.76,0,26.2,,
"Mar 2014",40.91,56.16,55.56,43.29,59.09,37.67,0,24.5,,
"Apr 2014",50,57.38,53.33,45.03,40,35.91,33.3,25.2,,
"May 2014",70,58.72,28.57,42.29,30,34.9,33.3,26.9,,
"Jun 2014",66.67,60.27,55.56,41.34,25.93,33.33,14.3,25.3,,
"Jul 2014",75.86,63.28,59.09,43.01,20.69,31.15,50,28.4,,
"Aug 2014",74.07,64.29,30,42.93,22.22,29.87,0,27.2,,
"Sep 2014",70.83,63.38,23.53,40.7,25,30.57,16.7,26,,
"Oct 2014",62.86,63.14,45.45,42.58,34.29,31.42,16.7,25,,
