"Admission Year & Month","Admitted to ortho ward % (k0)","Prompt orthogeriatric review % (k1)","Prompt surgery % (k2)","NICE compliant surgery % (k3)","Prompt mobilisation % (k4)","Not delirious post-op % (k5)","Return to original residence % (k6)","Bone protection medication % (k7)"
"Jan 2017",,100,64.5,74.2,74.2,77.4,87.1,
"Feb 2017",,95.1,56.1,78,70.7,73.2,92.7,
"Mar 2017",,96.7,55.2,72.4,69,82.8,83.3,
"Apr 2017",,100,91.3,78.3,56.5,78.3,69.6,
"May 2017",,96.8,54.8,74.2,67.7,74.2,77.4,
"Jun 2017",,95.8,72.7,77.3,77.3,86.4,79.2,
"Jul 2017",,100,60,66.7,80,86.7,66.7,
"Aug 2017",,92.9,70.4,77.8,81.5,74.1,57.1,
"Sep 2017",,96,75,66.7,79.2,87.5,88,
"Oct 2017",,100,62.1,79.3,100,82.8,83.9,
"Nov 2017",,100,67.5,85,75,75,70.7,
"Dec 2017",,100,60.6,81.8,72.7,87.9,73.5,
"Jan 2018",,100,87.1,83.9,87.1,90.3,67.7,
"Feb 2018",,100,62.5,78.1,75,75,61.8,
"Mar 2018",,100,57.1,88.6,57.1,77.1,65.7,
"Apr 2018",,100,73.1,73.1,73.1,80.8,84.6,
"May 2018",,100,62.5,83.3,87.5,87.5,72,
"Jun 2018",,96,66.7,75,70.8,79.2,76,
"Jul 2018",,100,76.5,70.6,73.5,76.5,67.6,
"Aug 2018",,93.9,72.7,69.7,84.8,69.7,78.8,
"Sep 2018",,100,82.8,75.9,82.8,86.2,75.9,
"Oct 2018",,100,68.6,82.9,85.7,54.3,68.6,
"Nov 2018",,100,94.4,72.2,88.9,77.8,52.6,
"Dec 2018",,100,71.4,75,82.1,64.3,64.3,
"Jan 2019",,97.1,45.7,91.4,97.1,77.1,65.7,
"Feb 2019",,100,42.9,76.2,85.7,61.9,71.4,
"Mar 2019",,100,41.7,66.7,95.8,66.7,60,
"Apr 2019",,89.7,51.3,71.8,89.7,76.9,56.4,
"May 2019",,100,70,93.3,90,66.7,66.7,
"Jun 2019",,100,64.5,64.5,83.9,58.1,58.1,
"Jul 2019",,97.2,50,58.3,94.4,77.8,66.7,
"Aug 2019",,100,71.4,64.3,85.7,67.9,60.7,
"Sep 2019",,100,35.3,55.9,91.2,76.5,79.4,
"Oct 2019",,100,69.7,81.8,72.7,63.6,66.7,
"Nov 2019",,100,70.7,78,63.4,80.5,75.6,
"Dec 2019",,97.5,80,72.5,85,80,85,
"Jan 2020",7.4,96.3,51.9,74.1,81.5,70.4,77.8,7.4
"Feb 2020",12,96,72,80,68,40,76,16
"Mar 2020",3.4,100,64.3,75,82.1,75,75.9,13.8
"Apr 2020",12.9,100,54.8,71,90.3,87.1,54.8,6.5
"May 2020",9.1,100,63.6,81.8,86.4,77.3,86.4,0
"Jun 2020",8.3,100,82.6,60.9,87,73.9,79.2,12.5
"Jul 2020",7.4,96.3,88.9,55.6,70.4,63,55.6,3.7
"Aug 2020",22.2,100,88.2,52.9,82.4,70.6,66.7,5.6
"Sep 2020",19.4,93.5,70,83.3,73.3,83.3,61.3,22.6
"Oct 2020",0,100,88.9,72.2,66.7,66.7,55,5
"Nov 2020",9.5,100,66.7,71.4,92.9,85.7,59.5,0
"Dec 2020",9.1,98.2,64.2,67.9,84.9,79.2,69.1,7.3
"Jan 2021",6.5,100,87.1,67.7,83.9,80.6,71,6.5
"Feb 2021",19.1,100,78.7,76.6,74.5,72.3,48.9,8.5
"Mar 2021",34.3,100,60,80,85.7,88.6,74.3,40
"Apr 2021",23.7,100,63.2,68.4,76.3,78.9,81.6,28.9
"May 2021",5.1,100,79.5,84.6,87.2,79.5,64.1,30.8
"Jun 2021",17.1,100,60,68.6,85.7,82.9,71.4,28.6
"Jul 2021",13.9,100,75,61.1,88.9,80.6,77.8,36.1
"Aug 2021",8.6,100,70.6,79.4,76.5,58.8,60,25.7
"Sep 2021",15.2,100,78.1,62.5,90.6,87.5,69.7,0
"Oct 2021",0,100,74.4,76.7,83.7,74.4,62.8,2.3
"Nov 2021",2.2,100,80,66.7,86.7,77.8,63,4.3
"Dec 2021",5.2,98.3,58.6,75.9,75.9,89.7,77.6,1.7
"Jan 2022",24.4,100,85.4,85.4,78,63.4,58.5,4.9
"Feb 2022",41.9,100,90,60,86.7,70,64.5,3.2
"Mar 2022",31.7,100,74.4,61.5,74.4,84.6,70.7,0
"Apr 2022",20.4,98,67.3,65.3,85.7,79.6,71.4,0
"May 2022",25,100,74.3,60,91.4,85.7,,5.6
