"Admission Year & Month","Nail for subtrochanteric fracture %","Nail for subtrochanteric fracture % (annual)","Sliding hip screw for trochanteric %","Sliding hip screw for trochanteric % (annual)","Cemented arthoplasties %","Cemented arthoplasties % (annual)","Total hip replacement where eligible %","Total hip replacement where eligible % (annual)","Non-operative management %","Non-operative management % (annual)","Sliding hip screw for A1/A2 %","Sliding hip screw for A1/A2 % (annual)"
"Apr 2011",0,,100,,100,,0,,2.73,,,
"May 2011",100,,80,,84.62,,14.29,,2.73,,,
"Jun 2011",0,,100,,81.82,,0,,2.74,,,
"Jul 2011",0,,87.5,,100,,0,,2.35,,,
"Aug 2011",0,,100,,100,,0,,2.75,,,
"Sep 2011",0,,90.91,,100,,0,,2.51,,,
"Oct 2011",0,,75,,100,,25,,2.35,,,
"Nov 2011",0,,100,,100,,20,,2.63,,,
"Dec 2011",100,,90.91,,100,,0,,2.78,,,
"Jan 2012",0,,100,,100,,0,,2.5,,,
"Feb 2012",0,,100,,100,,0,,2.26,,,
"Mar 2012",0,66.67,80,92.63,100,96.99,0,6.67,2.45,2.56,,
"Apr 2012",0,80,100,92.47,100,96.99,20,8.2,2.48,2.24,,
"May 2012",100,80,100,94.57,100,98.54,0,6.35,2.4,2.2,,
"Jun 2012",100,83.33,100,94.25,100,100,0,6.56,2.09,2.25,,
"Jul 2012",50,75,100,95.18,100,100,16.67,8.06,2.26,2.3,,
"Aug 2012",0,66.67,71.43,92.5,57.14,97.69,0,8.06,2.46,3.14,,
"Sep 2012",0,60,100,93.67,81.82,96.12,0,8.06,2.14,3.12,,
"Oct 2012",0,66.67,90,94.12,100,96.32,0,6.45,2.5,2.64,,
"Nov 2012",0,50,100,93.83,100,96.3,0,3.23,2.62,3.36,,
"Dec 2012",66.67,50,92.86,94.05,92.86,95.62,28.57,6.35,2.28,2.91,,
"Jan 2013",50,50,100,94.19,100,95.8,25,8.82,2.5,2.78,,
"Feb 2013",0,50,100,94.32,90.91,95.04,0,8.7,2.39,2.79,,
